created,text,retweetCount
2017-07-06 10:55:11,"RT @HTMumbai: Demonetisation: Here’s what two Maharashtra farmers did to save their money, reports @KGhoge 
https://t.co/YwUkWq0eZP https:/…",2
2017-07-06 10:54:43,"Modi's note ban can't kill corruption, it could damage Indian economy: Paul Krugman https://t.co/AdxsQky95v",0
2017-07-06 10:54:39,RT @RaisinaSeries: Double blow from demonetisation &amp; GST will play out over next 6 months with reduced econ growth. BJP will compensate by…,183
2017-07-06 10:54:05,Demonetisation is not going to make any lasting dent in corruption- Paul... https://t.co/fpuu6IB9df by #kansari786631 via @c0nvey,0
2017-07-06 10:53:01,RT @kapsology: .@narendramodi trying to bring India out of self-made disaster ~ Demonetisation https://t.co/VRo8x9fNVi,81
2017-07-06 10:52:58,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:52:29,RT @kapsology: .@narendramodi trying to bring India out of self-made disaster ~ Demonetisation https://t.co/VRo8x9fNVi,81
2017-07-06 10:52:09,"RT @rishibagree: Every Congress spokie quoted Paul Krugman who went horribly wrong during demonetisation, 

Now they have to lick back thei…",349
2017-07-06 10:51:57,"Note ban can't kill corruption, could damage economy significantly:Krugman https://t.co/lbrE12en01 via @economictimes
One More Band member..",0
2017-07-06 10:51:30,"RT @KapilSibalteam: BJP promised 2 crore jobs but now focus is firmly on destroying livelihoods, demonetisation and ill-planned GST.
@Kapil…",74
2017-07-06 10:51:19,RT @kapsology: .@narendramodi trying to bring India out of self-made disaster ~ Demonetisation https://t.co/VRo8x9fNVi,81
2017-07-06 10:51:08,RT @FeignShourie: #DeMonetisation Disaster Decoded by @jamewils in a thread. Nobody does it better than him! https://t.co/H9cpQVWPsN,47
2017-07-06 10:51:00,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:50:58,"RT @rishibagree: Every Congress spokie quoted Paul Krugman who went horribly wrong during demonetisation, 

Now they have to lick back thei…",349
2017-07-06 10:50:33,"RT @KapilSibalteam: Demonetisation has failed on each front which Modi referred in his famous address to the nation on 8th Nov,2016.
@Kapil…",2
2017-07-06 10:50:00,"Demonetisation has failed on each front which Modi referred in his famous address to the nation on 8th Nov,2016.… https://t.co/2nXIeoHezy",2
2017-07-06 10:50:00,"RT @SitaramYechury: Claim was that Demonetisation will lead to more digital transactions, less black money and absence of terror. But this…",172
